OBJECTID_1,OBJECTID,CouncilDis,Street,From_Stree,To_Street,Length_Ft,Shape__Length
1,1,"4,13",HOLLYWOOD BLVD,FULLER AVE,LYMAN PL,19050,19049.7168027874
2,2,11,LINCOLN BLVD,COMMONWEALTH AVE,VENICE BLVD,5901,5901.04483257751
3,3,"9,10",MANCHESTER BLVD,MCKINLEY PL,VERMONT AVE,10412,10412.3658978172
4,4,"5,11",SANTA MONICA BLVD,BROCKTON AVE,SEPULVEDA BLVD,5748,5748.06739463621
5,5,"4,13",SUNSET BLVD,L. RON HUBBARD WAY,SELMA AVE,22038,22037.6849159018
6,6,13,VERMONT AVE,GAGE ST,79TH ST,10157,10156.8093688937
7,7,"10,13",VERMONT AVE,7TH ST,BEVERLY BLVD,6025,6024.54468906184
8,8,"10,13",BEVERLY BLVD,NORMANDIE PL,WESTMORELAND BLVD,4006,4006.04802490786
9,9,11,CULVER BLVD,CENTINELA AVE,SLAUSON AVE,3330,3329.74616203576
10,10,15,GAFFEY ST,14TH ST,O'FARRELL ST,6151,6150.88989156461
11,11,"4,13",HIGHLAND AVE,FRANKLIN PL,SANTA MONICA BLVD,4916,4915.72817453506
12,13,8,IMPERIAL HWY,ATHENS WAY,VERMONT AVE,4010,4010.49243795712
13,14,10,LA BREA AVE,ADAMS BLVD,COLISEUM ST,5484,5484.08538495009
14,15,"5,10",LA CIENEGA BLVD,GUTHRIE AVE,WHITWORTH DR,6136,6136.3797322423
15,17,10,PICO BLVD,2ND AVE,WESTERN AVE,2993,2993.06034605271
16,19,"2,6",WOODMAN AVE,SHERMAN WAY,SATICOY ST,3871,3871.36917904093
17,22,11,LINCOLN BLVD,BLUFF TRAIL ROAD,MANCHESTER AVE,3224,3224.2956090082
18,23,15,NORMANDIE AVE,LOMITA BLVD,PACIFIC COAST FWY,2863,2863.01351213785
19,24,13,NORMANDIE AVE,BEVERLY BLVD,MELROSE AVE,2644,2644.38518334475
20,26,"3,4",VENTURA BLVD,GARDEN GROVE AVE,WHITE OAK AVE,3387,3386.68190228466
21,27,2,VICTORY BLVD,FULTON AVE,WHITSETT AVE,5223,5223.02043968262
22,28,10,WESTERN AVE,3RD ST,WASHINGTON AVE,10562,10561.8138369175
23,29,13,WESTERN AVE,LEXINGTON AVE,RUSSELL AVE,3959,3959.09025316468
